county,state,cases,deaths,2020 population
Woodford,Kentucky,1253,1.0,26892
Acadia,Louisiana,5082,153.0,57455
Allen,Louisiana,2458,71.0,22697
Ascension,Louisiana,7849,117.0,126984
Assumption,Louisiana,1379,28.0,20968
Avoyelles,Louisiana,2695,90.0,39616
Beauregard,Louisiana,1977,54.0,36573
Bienville,Louisiana,1202,47.0,12899
Bossier,Louisiana,8979,199.0,128615
Caddo,Louisiana,17819,517.0,237056
Calcasieu,Louisiana,13933,285.0,216416
Caldwell,Louisiana,922,21.0,9617
Cameron,Louisiana,381,4.0,5619
Catahoula,Louisiana,853,22.0,8859
Claiborne,Louisiana,1072,34.0,14109
Concordia,Louisiana,1448,38.0,18589
De Soto,Louisiana,1764,51.0,26854
East Baton Rouge,Louisiana,25726,583.0,455884
East Carroll,Louisiana,959,16.0,7383
East Feliciana,Louisiana,2458,91.0,19451
Evangeline,Louisiana,2624,57.0,32307
Franklin,Louisiana,2044,81.0,19721
Grant,Louisiana,1501,40.0,22129
Iberia,Louisiana,4840,120.0,69725
Iberville,Louisiana,2683,73.0,30095
Jackson,Louisiana,1392,38.0,14989
Jefferson,Louisiana,31498,669.0,439845
Jefferson Davis,Louisiana,2285,65.0,32166
LaSalle,Louisiana,1149,23.0,14812
Lafayette,Louisiana,16753,188.0,242004
Lafourche,Louisiana,6250,162.0,97495
Lincoln,Louisiana,3339,73.0,48259
Livingston,Louisiana,8761,125.0,142726
Madison,Louisiana,1307,18.0,9927
Morehouse,Louisiana,2133,46.0,25430
Natchitoches,Louisiana,2840,58.0,37349
Orleans,Louisiana,20780,679.0,383282
Ouachita,Louisiana,13951,284.0,160003
Plaquemines,Louisiana,1708,21.0,23466
Pointe Coupee,Louisiana,1918,57.0,20689
Rapides,Louisiana,8258,212.0,129607
Red River,Louisiana,661,29.0,7619
Richland,Louisiana,1744,40.0,19997
Sabine,Louisiana,2064,44.0,22118
St. Bernard,Louisiana,2367,39.0,43838
St. Charles,Louisiana,3637,73.0,52481
St. Helena,Louisiana,707,5.0,10889
St. James,Louisiana,1323,43.0,20127
St. John the Baptist,Louisiana,2649,119.0,42394
St. Landry,Louisiana,6576,202.0,82273
St. Martin,Louisiana,3804,82.0,51604
St. Mary,Louisiana,3080,102.0,49140
St. Tammany,Louisiana,15312,345.0,264933
Tangipahoa,Louisiana,9038,184.0,133549
Tensas,Louisiana,273,3.0,4116
Terrebonne,Louisiana,6260,149.0,109319
Union,Louisiana,1842,66.0,21124
Unknown,Louisiana,399,0.0,
Vermilion,Louisiana,3518,85.0,57289
Vernon,Louisiana,2168,76.0,48582
Washington,Louisiana,3135,87.0,45370
Webster,Louisiana,2822,68.0,36864
West Baton Rouge,Louisiana,1836,48.0,27236
West Carroll,Louisiana,913,34.0,9694
West Feliciana,Louisiana,950,25.0,15256
Winn,Louisiana,1227,30.0,13721
Androscoggin,Maine,2667,44.0,111039
Aroostook,Maine,617,8.0,66994
Cumberland,Maine,7233,97.0,303312
Franklin,Maine,451,5.0,29418
Hancock,Maine,550,12.0,55460
Kennebec,Maine,1812,29.0,123754
Knox,Maine,370,4.0,40609
Lincoln,Maine,301,2.0,35192
Oxford,Maine,1115,21.0,57849
Penobscot,Maine,2050,20.0,152007
Piscataquis,Maine,117,1.0,16768
Sagadahoc,Maine,387,1.0,36688
Somerset,Maine,743,21.0,50404
Unknown,Maine,1,0.0,
Waldo,Maine,380,17.0,39635
Washington,Maine,377,2.0,31062
York,Maine,5030,63.0,212089
Allegany,Maryland,5404,153.0,67947
Anne Arundel,Maryland,24421,365.0,588769
Baltimore,Maryland,38686,933.0,853073
Baltimore city,Maryland,31558,704.0,
Calvert,Maryland,2232,45.0,92857
Caroline,Maryland,1319,10.0,33290
Carroll,Maryland,5172,165.0,172890
Cecil,Maryland,3570,74.0,103740
Charles,Maryland,6037,124.0,166682
Dorchester,Maryland,1372,22.0,32508
Frederick,Maryland,11309,194.0,272737
Garrett,Maryland,1457,50.0,28761
Harford,Maryland,8555,164.0,261122
Howard,Maryland,11228,180.0,332722
Kent,Maryland,739,27.0,19142
Montgomery,Maryland,46243,1124.0,1061243
Prince George's,Maryland,54614,1085.0,965601
Queen Anne's,Maryland,1665,28.0,49983
Somerset,Maryland,1792,22.0,24567
St. Mary's,Maryland,3255,87.0,113953
Talbot,Maryland,1164,8.0,37456
Unknown,Maryland,0,57.0,
Washington,Maryland,8208,149.0,154586
Wicomico,Maryland,4675,77.0,103473
Worcester,Maryland,2159,48.0,52445
Barnstable,Massachusetts,5396,238.0,228969
Berkshire,Massachusetts,2907,138.0,128758
Bristol,Massachusetts,34655,1071.0,579172
Dukes,Massachusetts,483,0.0,20581
Essex,Massachusetts,58429,1698.0,809218
Franklin,Massachusetts,1278,92.0,70988
Hampden,Massachusetts,26282,1046.0,464908
Hampshire,Massachusetts,3832,198.0,162064
Middlesex,Massachusetts,75615,2729.0,1629422
Nantucket,Massachusetts,748,2.0,14244
Norfolk,Massachusetts,27296,1302.0,726025
Plymouth,Massachusetts,24296,1005.0,530979
Suffolk,Massachusetts,54556,1374.0,795431
Unknown,Massachusetts,16810,7.0,
Worcester,Massachusetts,42595,1523.0,861461
Alcona,Michigan,336,14.0,10158
Alger,Michigan,446,2.0,8834
Allegan,Michigan,5758,66.0,120596
Alpena,Michigan,1142,26.0,28877
Antrim,Michigan,620,9.0,23421
Arenac,Michigan,597,24.0,14990
Baraga,Michigan,610,28.0,8128
Barry,Michigan,2968,34.0,62548
Bay,Michigan,6219,187.0,103594
Benzie,Michigan,658,26.0,17974
Berrien,Michigan,9371,189.0,154095
Branch,Michigan,3887,91.0,44810
Calhoun,Michigan,7802,189.0,134113
Cass,Michigan,3194,45.0,51563
Charlevoix,Michigan,849,10.0,26012
Cheboygan,Michigan,737,33.0,25599
Chippewa,Michigan,2780,20.0,36744
Clare,Michigan,1224,41.0,30822
Clinton,Michigan,3879,40.0,79128
Crawford,Michigan,457,6.0,12965
Delta,Michigan,2889,77.0,36842
Dickinson,Michigan,2174,68.0,25886
Eaton,Michigan,4667,88.0,109106
Emmet,Michigan,1207,33.0,34090
Genesee,Michigan,21619,596.0,405648
Gladwin,Michigan,1184,32.0,25369
Gogebic,Michigan,1002,38.0,14315
Grand Traverse,Michigan,3042,46.0,95315
Gratiot,Michigan,4148,71.0,41662
Hillsdale,Michigan,2588,57.0,45677
Houghton,Michigan,1974,32.0,37160
Huron,Michigan,1523,42.0,31351
Ingham,Michigan,12635,184.0,284520
Ionia,Michigan,4848,46.0,66861
Iosco,Michigan,1104,46.0,25191
Iron,Michigan,813,37.0,11637
Isabella,Michigan,3426,42.0,64488
Jackson,Michigan,10366,176.0,160200
Kalamazoo,Michigan,12232,240.0,261629
Kalkaska,Michigan,492,12.0,17925
Kent,Michigan,43280,543.0,658040
Keweenaw,Michigan,82,2.0,2055
Lake,Michigan,304,9.0,12099
Lapeer,Michigan,4334,108.0,88528
Leelanau,Michigan,626,7.0,22302
Lenawee,Michigan,5353,66.0,99214
Livingston,Michigan,7853,74.0,193973
Luce,Michigan,976,0.0,5325
Mackinac,Michigan,380,2.0,10830
Macomb,Michigan,49744,1606.0,880349
Manistee,Michigan,609,15.0,25063
Marquette,Michigan,4408,52.0,65931
Mason,Michigan,979,19.0,29064
Mecosta,Michigan,1651,14.0,39781
Menominee,Michigan,1689,25.0,23423
Midland,Michigan,4011,44.0,83476
Missaukee,Michigan,481,8.0,15067
Monroe,Michigan,7595,149.0,154796
Montcalm,Michigan,3205,65.0,66515
Montmorency,Michigan,286,9.0,9155
Muskegon,Michigan,11067,269.0,175817
Newaygo,Michigan,2253,33.0,50042
Oakland,Michigan,61195,1636.0,1272408
Oceana,Michigan,1605,43.0,26688
Ogemaw,Michigan,921,30.0,20740
Ontonagon,Michigan,306,16.0,5804
Osceola,Michigan,841,18.0,22887
Oscoda,Michigan,308,15.0,8234
Otsego,Michigan,1026,22.0,25102
Ottawa,Michigan,18640,272.0,296787
Presque Isle,Michigan,530,9.0,12979
Roscommon,Michigan,963,27.0,23432
Saginaw,Michigan,12367,383.0,189831
Sanilac,Michigan,1497,57.0,40506
Schoolcraft,Michigan,229,4.0,8041
Shiawassee,Michigan,2954,58.0,67983
St. Clair,Michigan,7088,160.0,160265
St. Joseph,Michigan,3584,50.0,60902
Tuscola,Michigan,2637,89.0,53274
Unknown,Michigan,7105,37.0,
Van Buren,Michigan,4044,78.0,75556
Washtenaw,Michigan,14234,200.0,371656
Wayne,Michigan,84967,3626.0,1790225
Wexford,Michigan,994,18.0,33676
Aitkin,Minnesota,1023,32.0,15693
Anoka,Minnesota,28973,323.0,364299
Becker,Minnesota,2680,36.0,35147
Beltrami,Minnesota,2871,41.0,46230
Benton,Minnesota,3888,78.0,41338
Big Stone,Minnesota,434,3.0,5147
Blue Earth,Minnesota,5040,28.0,69173
Brown,Minnesota,2011,32.0,25885
Carlton,Minnesota,2595,37.0,36156
Carver,Minnesota,6449,33.0,107286
Cass,Minnesota,1928,20.0,30125
Chippewa,Minnesota,1275,29.0,12593
Chisago,Minnesota,4149,27.0,56670
Clay,Minnesota,6163,78.0,65351
Clearwater,Minnesota,657,14.0,8580
Cook,Minnesota,104,0.0,5592
Cottonwood,Minnesota,1221,15.0,11489
Crow Wing,Minnesota,4509,64.0,66236
Dakota,Minnesota,30280,277.0,440317
Dodge,Minnesota,1175,4.0,20861
Douglas,Minnesota,3481,59.0,39079
Faribault,Minnesota,911,11.0,13888
Fillmore,Minnesota,1110,1.0,21246
Freeborn,Minnesota,1992,18.0,30883
Goodhue,Minnesota,3059,42.0,47536
Grant,Minnesota,390,7.0,6080
Hennepin,Minnesota,86273,1382.0,1281267
Houston,Minnesota,1185,12.0,18818
Hubbard,Minnesota,1396,37.0,21380
Isanti,Minnesota,2636,31.0,41383
Itasca,Minnesota,2692,39.0,44984
Jackson,Minnesota,791,8.0,9969
Kanabec,Minnesota,924,18.0,16040
Kandiyohi,Minnesota,5379,65.0,43685
Kittson,Minnesota,341,18.0,4180
Koochiching,Minnesota,546,9.0,12031
Lac qui Parle,Minnesota,603,14.0,6701
Lake,Minnesota,547,15.0,10885
Lake of the Woods,Minnesota,152,1.0,3760
Le Sueur,Minnesota,1950,15.0,28627
Lincoln,Minnesota,454,1.0,5628
Lyon,Minnesota,2847,29.0,25174
Mahnomen,Minnesota,396,7.0,5374
Marshall,Minnesota,675,12.0,9035
Martin,Minnesota,1570,25.0,19970
McLeod,Minnesota,3073,39.0,36701
Meeker,Minnesota,1879,32.0,23428
Mille Lacs,Minnesota,2028,43.0,26410
Morrison,Minnesota,2914,43.0,33980
Mower,Minnesota,3321,25.0,40049
Murray,Minnesota,755,5.0,8168
Nicollet,Minnesota,2073,32.0,34490
Nobles,Minnesota,3530,46.0,22183
Norman,Minnesota,410,8.0,6422
Olmsted,Minnesota,9309,61.0,162991
Otter Tail,Minnesota,4216,50.0,60024
Pennington,Minnesota,905,14.0,13939
Pine,Minnesota,2472,12.0,28854
Pipestone,Minnesota,875,21.0,9405
Polk,Minnesota,3198,49.0,31051
Pope,Minnesota,690,4.0,11309
Ramsey,Minnesota,37111,688.0,551480
Red Lake,Minnesota,309,4.0,3936
Redwood,Minnesota,1308,26.0,15391
Renville,Minnesota,1291,39.0,14684
Rice,Minnesota,5516,55.0,67030
Rock,Minnesota,1025,10.0,9705
Roseau,Minnesota,1599,14.0,15294
Scott,Minnesota,11016,81.0,151265
Sherburne,Minnesota,7654,57.0,97479
Sibley,Minnesota,1021,5.0,14802
St. Louis,Minnesota,12538,205.0,199962
Stearns,Minnesota,16946,172.0,158349
Steele,Minnesota,2512,9.0,37352
Stevens,Minnesota,671,6.0,9646
Swift,Minnesota,790,16.0,9791
Todd,Minnesota,2226,27.0,25250
Traverse,Minnesota,216,2.0,3346
Unknown,Minnesota,503,59.0,
Wabasha,Minnesota,1500,2.0,21417
Wadena,Minnesota,1123,12.0,14107
Waseca,Minnesota,1755,13.0,18954
Washington,Minnesota,18467,190.0,268191
Watonwan,Minnesota,1024,7.0,11221
Wilkin,Minnesota,588,7.0,6481
Winona,Minnesota,3565,43.0,49606
Wright,Minnesota,10834,88.0,141759
Yellow Medicine,Minnesota,880,14.0,9492
Adams,Mississippi,1801,58.0,29405
Alcorn,Mississippi,2210,40.0,34680
Amite,Mississippi,859,23.0,12698
Attala,Mississippi,1728,51.0,17828
Benton,Mississippi,675,21.0,7661
Bolivar,Mississippi,3418,95.0,30849
Calhoun,Mississippi,1175,17.0,13240
Carroll,Mississippi,932,18.0,9941
Chickasaw,Mississippi,1594,37.0,17067
Choctaw,Mississippi,518,10.0,8202
Claiborne,Mississippi,708,20.0,9093
Clarke,Mississippi,1202,58.0,15533
Clay,Mississippi,1329,30.0,18645
Coahoma,Mississippi,1955,52.0,21232
Copiah,Mississippi,2182,45.0,28293
Covington,Mississippi,1843,67.0,18313
DeSoto,Mississippi,14714,139.0,185902
Forrest,Mississippi,5232,101.0,78136
Franklin,Mississippi,586,9.0,7653
George,Mississippi,1732,35.0,24335
Greene,Mississippi,988,25.0,13501
Grenada,Mississippi,1962,62.0,21581
Hancock,Mississippi,2033,55.0,46075
Harrison,Mississippi,10680,157.0,208613
Hinds,Mississippi,13966,265.0,226636
Holmes,Mississippi,1592,65.0,16912
Humphreys,Mississippi,726,22.0,7715
Issaquena,Mississippi,152,4.0,1326
Itawamba,Mississippi,2279,51.0,23824
Jackson,Mississippi,8771,158.0,143291
Jasper,Mississippi,1435,25.0,16348
Jefferson,Mississippi,466,14.0,7254
Jefferson Davis,Mississippi,762,24.0,11258
Jones,Mississippi,5236,97.0,67142
Kemper,Mississippi,655,19.0,8983
Lafayette,Mississippi,4250,83.0,55905
Lamar,Mississippi,4106,60.0,64368
Lauderdale,Mississippi,4941,171.0,72706
Lawrence,Mississippi,918,16.0,11984
Leake,Mississippi,2049,51.0,21247
Lee,Mississippi,7668,118.0,83228
Leflore,Mississippi,2649,101.0,28196
Lincoln,Mississippi,2551,79.0,34815
Lowndes,Mississippi,4394,92.0,58726
Madison,Mississippi,7194,136.0,109222
Marion,Mississippi,1757,63.0,24399
Marshall,Mississippi,2915,63.0,33754
Monroe,Mississippi,3007,89.0,34093
Montgomery,Mississippi,984,31.0,9793
Neshoba,Mississippi,3006,141.0,28992
Newton,Mississippi,1615,33.0,21243
Noxubee,Mississippi,932,20.0,10231
Oktibbeha,Mississippi,3409,74.0,51710
Panola,Mississippi,3202,70.0,33114
Pearl River,Mississippi,2581,81.0,56140
Perry,Mississippi,878,30.0,11470
Pike,Mississippi,2210,71.0,40209
Pontotoc,Mississippi,3171,42.0,31206
Prentiss,Mississippi,2101,42.0,24935
Quitman,Mississippi,600,7.0,6153
Rankin,Mississippi,8793,165.0,157052
Scott,Mississippi,2131,40.0,27958
Sharkey,Mississippi,387,17.0,3767
Simpson,Mississippi,2042,63.0,25893
Smith,Mississippi,1021,20.0,14204
Stone,Mississippi,1173,18.0,18333
Sunflower,Mississippi,2408,61.0,25826
Tallahatchie,Mississippi,1228,32.0,12670
Tate,Mississippi,2391,56.0,28124
Tippah,Mississippi,1993,40.0,21732
Tishomingo,Mississippi,1583,53.0,18822
Tunica,Mississippi,758,19.0,9720
Union,Mississippi,2809,42.0,27780
Walthall,Mississippi,1002,34.0,13863
Warren,Mississippi,2743,78.0,44548
Washington,Mississippi,4259,116.0,44613
Wayne,Mississippi,1671,27.0,19778
Webster,Mississippi,760,18.0,9921
Wilkinson,Mississippi,532,23.0,8525
Winston,Mississippi,1834,50.0,17673
Yalobusha,Mississippi,995,32.0,12446
Yazoo,Mississippi,2114,50.0,26618
Adair,Missouri,1764,11.0,25246
Andrew,Missouri,1091,14.0,18083
Atchison,Missouri,260,5.0,5306
Audrain,Missouri,1829,36.0,24925
Barry,Missouri,1781,36.0,34539
Barton,Missouri,764,8.0,11613
Bates,Missouri,834,12.0,16044
Benton,Missouri,1189,16.0,19409
Bollinger,Missouri,956,12.0,10525
Boone,Missouri,13835,58.0,183894
Buchanan,Missouri,8368,132.0,84615
Butler,Missouri,2805,15.0,42007
Caldwell,Missouri,545,5.0,8806
Callaway,Missouri,3778,20.0,44288
Camden,Missouri,3143,63.0,42784
Cape Girardeau,Missouri,7754,109.0,81788
Carroll,Missouri,650,18.0,8461
Carter,Missouri,373,6.0,5207
Cass,Missouri,5627,54.0,108113
Cedar,Missouri,516,8.0,14199
Chariton,Missouri,332,3.0,7380
Christian,Missouri,6285,49.0,89224
Clark,Missouri,371,4.0,6632
Clay,Missouri,7134,98.0,253923
Clinton,Missouri,1248,56.0,21204
Cole,Missouri,7605,90.0,77198
Cooper,Missouri,1493,20.0,17089
Crawford,Missouri,1706,19.0,23026
Dade,Missouri,585,29.0,7586
Dallas,Missouri,697,18.0,17099
Daviess,Missouri,468,9.0,8427
DeKalb,Missouri,780,19.0,11014
Dent,Missouri,701,8.0,14418
Douglas,Missouri,617,19.0,11592
Dunklin,Missouri,2083,15.0,28178
Franklin,Missouri,6556,113.0,104769
Gasconade,Missouri,675,29.0,14745
Gentry,Missouri,604,16.0,6115
Greene,Missouri,21496,297.0,299060
Grundy,Missouri,679,23.0,9729
Harrison,Missouri,633,10.0,8155
Henry,Missouri,1432,22.0,21949
Hickory,Missouri,425,9.0,8303
Holt,Missouri,324,9.0,4186
Howard,Missouri,617,2.0,10144
Howell,Missouri,2313,37.0,39750
Iron,Missouri,408,1.0,9515
Jackson,Missouri,23425,243.0,717243
Jasper,Missouri,6020,84.0,122766
Jefferson,Missouri,16795,134.0,226929
Johnson,Missouri,3214,29.0,54002
Joplin,Missouri,3975,74.0,
Kansas City,Missouri,30039,352.0,
Knox,Missouri,150,1.0,3732
Laclede,Missouri,2491,46.0,36024
Lafayette,Missouri,2058,40.0,33001
Lawrence,Missouri,2293,52.0,37963
Lewis,Missouri,539,3.0,10031
Lincoln,Missouri,3536,20.0,59829
Linn,Missouri,417,11.0,11849
Livingston,Missouri,1036,23.0,14562
Macon,Missouri,916,10.0,15182
Madison,Missouri,1200,10.0,12600
Maries,Missouri,463,6.0,8427
Marion,Missouri,2329,24.0,28470
McDonald,Missouri,2013,27.0,23285
Mercer,Missouri,131,1.0,3515
Miller,Missouri,2024,41.0,24733
Mississippi,Missouri,1137,15.0,12537
Moniteau,Missouri,1488,17.0,15464
Monroe,Missouri,516,5.0,8666
Montgomery,Missouri,498,9.0,11262
Morgan,Missouri,1444,24.0,20997
New Madrid,Missouri,1615,31.0,16329
Newton,Missouri,3467,46.0,58613
Nodaway,Missouri,2348,19.0,21218
Oregon,Missouri,532,3.0,8617
Osage,Missouri,1188,8.0,13249
Ozark,Missouri,378,4.0,8514
Pemiscot,Missouri,1273,21.0,15585
Perry,Missouri,1852,19.0,18960
Pettis,Missouri,4186,61.0,42951
Phelps,Missouri,2480,85.0,44517
Pike,Missouri,1275,14.0,17613
Platte,Missouri,2420,23.0,107100
Polk,Missouri,2576,36.0,31577
Pulaski,Missouri,2546,27.0,53964
Putnam,Missouri,199,1.0,4676
Ralls,Missouri,660,7.0,10351
Randolph,Missouri,1599,17.0,24636
Ray,Missouri,1115,8.0,23100
Reynolds,Missouri,414,3.0,6078
Ripley,Missouri,673,8.0,10680
Saline,Missouri,1994,23.0,23319
Schuyler,Missouri,199,1.0,4007
Scotland,Missouri,227,3.0,4698
Scott,Missouri,3328,60.0,38009
Shannon,Missouri,408,9.0,7041
Shelby,Missouri,293,4.0,6101
St. Charles,Missouri,29669,330.0,406258
St. Clair,Missouri,458,5.0,9340
St. Francois,Missouri,6539,69.0,66900
St. Louis,Missouri,69480,1391.0,1002838
St. Louis city,Missouri,17028,302.0,
Ste. Genevieve,Missouri,1412,5.0,18476
Stoddard,Missouri,2015,33.0,28652
Stone,Missouri,1612,24.0,31175
Sullivan,Missouri,656,10.0,5976
Taney,Missouri,3752,52.0,56020
Texas,Missouri,1339,17.0,24413
Vernon,Missouri,1082,19.0,19642
Warren,Missouri,2021,19.0,35707
Washington,Missouri,1780,39.0,23499
Wayne,Missouri,663,6.0,10913
Webster,Missouri,2423,38.0,39168
Worth,Missouri,119,1.0,1962
Wright,Missouri,1068,23.0,18180
Beaverhead,Montana,769,8.0,9372
Big Horn,Montana,2050,58.0,13051
Blaine,Montana,603,22.0,7002
Broadwater,Montana,294,1.0,6846
Carbon,Montana,682,8.0,10512
Carter,Montana,135,4.0,1413
Cascade,Montana,6634,104.0,84328
Chouteau,Montana,371,4.0,5899
Custer,Montana,987,9.0,11859
Daniels,Montana,138,5.0,1658
Dawson,Montana,926,23.0,8922
Deer Lodge,Montana,847,9.0,9413
Fallon,Montana,268,2.0,3033
Fergus,Montana,860,13.0,11457
Flathead,Montana,8854,56.0,104773
Gallatin,Montana,9454,38.0,119502
Garfield,Montana,72,2.0,1172
Glacier,Montana,1324,23.0,13747
Golden Valley,Montana,43,0.0,820
Granite,Montana,162,2.0,3308
Hill,Montana,1639,34.0,16250
Jefferson,Montana,777,4.0,12133
Judith Basin,Montana,77,0.0,2017
Lake,Montana,1471,16.0,31259
Lewis and Clark,Montana,4859,38.0,71093
Liberty,Montana,101,1.0,1960
Lincoln,Montana,1089,9.0,19731
Madison,Montana,509,3.0,8657
McCone,Montana,143,0.0,1733
Meagher,Montana,111,7.0,1925
Mineral,Montana,177,0.0,4565
Missoula,Montana,6390,54.0,118238
Musselshell,Montana,264,7.0,4747
Park,Montana,876,6.0,17193
Petroleum,Montana,10,1.0,498
Phillips,Montana,426,12.0,4190
Pondera,Montana,387,3.0,5882
Powder River,Montana,102,5.0,1693
Powell,Montana,788,5.0,6934
Prairie,Montana,124,2.0,1076
Ravalli,Montana,2156,26.0,44351
Richland,Montana,875,11.0,11501
Roosevelt,Montana,1390,51.0,10780
Rosebud,Montana,1027,28.0,8298
Sanders,Montana,440,3.0,12451
Sheridan,Montana,357,5.0,3518
Silver Bow,Montana,3033,34.0,35168
Stillwater,Montana,543,8.0,9010
Sweet Grass,Montana,314,6.0,3671
Teton,Montana,312,5.0,6242
Toole,Montana,673,8.0,4964
Treasure,Montana,43,1.0,761
Valley,Montana,644,7.0,7551
Wheatland,Montana,141,6.0,2093
Wibaux,Montana,113,4.0,928
Yellowstone,Montana,13847,161.0,165045
Adams,Nebraska,2285,36.0,31147
Antelope,Nebraska,427,4.0,6276
Arthur,Nebraska,18,0.0,431
Banner,Nebraska,26,0.0,683
Blaine,Nebraska,16,0.0,431
Boone,Nebraska,418,4.0,5351
Box Butte,Nebraska,783,8.0,10824
Boyd,Nebraska,162,3.0,1806
Brown,Nebraska,207,2.0,2903
Buffalo,Nebraska,4324,48.0,50129
Burt,Nebraska,520,9.0,6721
Butler,Nebraska,729,10.0,8349
Cass,Nebraska,1745,13.0,26593
Cedar,Nebraska,548,10.0,8373
Chase,Nebraska,366,3.0,3881
Cherry,Nebraska,251,4.0,5462
Cheyenne,Nebraska,751,10.0,9482
Clay,Nebraska,549,8.0,6101
Colfax,Nebraska,1442,18.0,10546
Cuming,Nebraska,817,9.0,9009
Custer,Nebraska,637,14.0,10495
Dakota,Nebraska,3600,56.0,21502
Dawes,Nebraska,544,18.0,8151
Dawson,Nebraska,2468,24.0,24039
Deuel,Nebraska,70,0.0,1829
Dixon,Nebraska,490,6.0,5580
Dodge,Nebraska,3784,42.0,37102
Douglas,Nebraska,53284,515.0,585010
Dundy,Nebraska,102,4.0,1647
Fillmore,Nebraska,408,7.0,5567
Franklin,Nebraska,209,2.0,2885
Frontier,Nebraska,150,1.0,2510
Furnas,Nebraska,362,4.0,4615
Gage,Nebraska,1837,13.0,21663
Garden,Nebraska,92,0.0,1883
Garfield,Nebraska,127,3.0,1806
Gosper,Nebraska,158,3.0,1891
Grant,Nebraska,23,3.0,611
Greeley,Nebraska,178,2.0,2180
Hall,Nebraska,5835,96.0,62730
Hamilton,Nebraska,712,15.0,9403
Harlan,Nebraska,179,0.0,3054
Hayes,Nebraska,55,0.0,855
Hitchcock,Nebraska,176,2.0,2610
Holt,Nebraska,675,13.0,10083
Hooker,Nebraska,47,1.0,707
Howard,Nebraska,470,13.0,6496
Jefferson,Nebraska,555,1.0,7260
Johnson,Nebraska,540,5.0,5288
Kearney,Nebraska,583,4.0,6695
Keith,Nebraska,583,2.0,8322
Keya Paha,Nebraska,38,0.0,763
Kimball,Nebraska,339,4.0,3401
Knox,Nebraska,673,5.0,8383
Lancaster,Nebraska,22654,152.0,322910
Lincoln,Nebraska,3013,27.0,34551
Logan,Nebraska,69,0.0,714
Loup,Nebraska,36,0.0,606
Madison,Nebraska,3875,39.0,35473
McPherson,Nebraska,21,0.0,396
Merrick,Nebraska,594,11.0,7659
Morrill,Nebraska,404,11.0,4539
Nance,Nebraska,347,9.0,3382
Nemaha,Nebraska,480,10.0,7088
Nuckolls,Nebraska,299,1.0,4081
Otoe,Nebraska,1003,2.0,15892
Pawnee,Nebraska,157,1.0,2536
Perkins,Nebraska,230,11.0,2851
Phelps,Nebraska,743,8.0,8968
Pierce,Nebraska,533,19.0,7328
Platte,Nebraska,3513,41.0,34280
Polk,Nebraska,463,15.0,5225
Red Willow,Nebraska,950,5.0,10671
Richardson,Nebraska,518,15.0,7836
Rock,Nebraska,99,2.0,1267
Saline,Nebraska,1740,3.0,14249
Sarpy,Nebraska,15804,78.0,191114
Saunders,Nebraska,1784,10.0,22361
Scotts Bluff,Nebraska,4119,50.0,36002
Seward,Nebraska,1571,20.0,17605
Sheridan,Nebraska,385,10.0,5097
Sherman,Nebraska,151,4.0,2956
Sioux,Nebraska,27,0.0,1144
Stanton,Nebraska,313,8.0,5824
Thayer,Nebraska,382,3.0,5013
Thomas,Nebraska,46,0.0,671
Thurston,Nebraska,706,9.0,6769
Valley,Nebraska,249,3.0,4048
Washington,Nebraska,1627,17.0,20904
Wayne,Nebraska,877,6.0,9687
Webster,Nebraska,273,3.0,3387
Wheeler,Nebraska,28,0.0,773
York,Nebraska,1345,10.0,14084
Carson City,Nevada,5016,57.0,
Churchill,Nevada,1381,39.0,25539
Clark,Nevada,170032,2379.0,2273386
Douglas,Nevada,1974,16.0,49468
Elko,Nevada,3862,33.0,53750
Esmeralda,Nevada,32,0.0,730
Eureka,Nevada,29,0.0,1847
Humboldt,Nevada,813,10.0,17283
Lander,Nevada,384,7.0,5725
Lincoln,Nevada,277,1.0,4502
Lyon,Nevada,2163,44.0,59431
Mineral,Nevada,199,4.0,4553
Nye,Nevada,1975,43.0,51968
Pershing,Nevada,829,9.0,6639
Storey,Nevada,66,2.0,4106
Washoe,Nevada,35756,489.0,487388
White Pine,Nevada,377,3.0,9079
Belknap,New Hampshire,1934,47.0,63743
Carroll,New Hampshire,905,4.0,50212
Cheshire,New Hampshire,1263,7.0,76501
Coos,New Hampshire,662,15.0,31173
Grafton,New Hampshire,1127,9.0,91123
Hillsborough,New Hampshire,17624,435.0,422705
Merrimack,New Hampshire,4793,64.0,153922
Rockingham,New Hampshire,10918,141.0,314430
Strafford,New Hampshire,3489,31.0,131006
Sullivan,New Hampshire,430,6.0,43033
Unknown,New Hampshire,883,0.0,
Atlantic,New Jersey,12200,368.0,274191
Bergen,New Jersey,47362,2318.0,954774
Burlington,New Jersey,21221,624.0,461862
Camden,New Jersey,28693,818.0,523204
Cape May,New Jersey,2403,135.0,95077
Cumberland,New Jersey,7853,225.0,153848
Essex,New Jersey,47442,2391.0,862032
Gloucester,New Jersey,14133,386.0,302607
Hudson,New Jersey,44104,1699.0,722655
Hunterdon,New Jersey,3800,139.0,128839
Mercer,New Jersey,18790,720.0,386759
Middlesex,New Jersey,45012,1677.0,861908
Monmouth,New Jersey,31937,1040.0,643163
Morris,New Jersey,20284,958.0,509001
Ocean,New Jersey,32509,1356.0,638824
Passaic,New Jersey,40033,1458.0,523100
Salem,New Jersey,2764,112.0,64859
