county,state,cases,deaths,2020 population,2019 raw GDP,percent change 2020
Clay,Texas,710,10.0,10245.0,255186,1.5
Cochran,Texas,204,10.0,2559.0,404276,-2.7
Coke,Texas,391,10.0,3288.0,126391,-1.1
Coleman,Texas,416,15.0,7671.0,218520,0.5
Collin,Texas,48423,370.0,1073149.0,64095670,1.6
Collingsworth,Texas,209,5.0,2635.0,75877,-1.5
Colorado,Texas,1012,15.0,20566.0,,
Comal,Texas,6239,158.0,163573.0,,
Comanche,Texas,1011,28.0,13600.0,,
Concho,Texas,210,3.0,3319.0,,
Cooke,Texas,2300,31.0,41697.0,,
Coryell,Texas,3544,32.0,83096.0,,
Cottle,Texas,152,5.0,1374.0,,
Crane,Texas,509,9.0,4668.0,,
Crockett,Texas,519,9.0,3111.0,,
Crosby,Texas,341,20.0,5098.0,,
Culberson,Texas,297,3.0,2193.0,,
Dallam,Texas,458,18.0,7116.0,,
Dallas,Texas,193318,2007.0,2610957.0,,
Dawson,Texas,1429,48.0,12439.0,,
DeWitt,Texas,1426,48.0,19809.0,,
Deaf Smith,Texas,2401,55.0,18503.0,,
Delta,Texas,147,3.0,5233.0,,
Denton,Texas,39182,348.0,913900.0,,
Dickens,Texas,122,7.0,1760.0,,
Dimmit,Texas,625,12.0,8563.0,,
Donley,Texas,233,7.0,3269.0,,
Duval,Texas,883,28.0,9808.0,,
Eastland,Texas,822,15.0,17754.0,,
Ector,Texas,11543,223.0,165467.0,,
Edwards,Texas,183,2.0,1414.0,,
El Paso,Texas,98540,1666.0,866093.0,,
Ellis,Texas,13216,174.0,194272.0,,
Erath,Texas,3015,30.0,42715.0,,
Falls,Texas,1185,16.0,16961.0,,
Fannin,Texas,1872,52.0,35732.0,,
Fayette,Texas,1290,35.0,24452.0,,
Fisher,Texas,221,9.0,3677.0,,
Floyd,Texas,527,21.0,5378.0,,
Foard,Texas,70,4.0,1086.0,,
Fort Bend,Texas,36324,390.0,828632.0,,
Franklin,Texas,437,12.0,10366.0,,
Freestone,Texas,922,23.0,19445.0,,
Frio,Texas,1803,12.0,18366.0,,
Gaines,Texas,1234,29.0,21701.0,,
Galveston,Texas,21429,217.0,351458.0,,
Garza,Texas,261,16.0,5794.0,,
Gillespie,Texas,1419,20.0,26732.0,,
Glasscock,Texas,91,1.0,1114.0,,
Goliad,Texas,282,8.0,7005.0,,
Gonzales,Texas,1638,25.0,19653.0,,
Gray,Texas,1679,33.0,21179.0,,
Grayson,Texas,6544,173.0,136014.0,,
Gregg,Texas,6923,167.0,124175.0,,
Grimes,Texas,1794,44.0,29414.0,,
Guadalupe,Texas,6937,106.0,173541.0,,
Hale,Texas,5152,124.0,32439.0,,
Hall,Texas,220,9.0,2801.0,,
Hamilton,Texas,493,16.0,8230.0,,
Hansford,Texas,598,13.0,5255.0,,
Hardeman,Texas,257,8.0,3559.0,,
Hardin,Texas,3352,50.0,56277.0,,
Harris,Texas,237727,3402.0,4732491.0,,
Harrison,Texas,2510,63.0,68778.0,,
Hartley,Texas,319,2.0,5362.0,,
Haskell,Texas,314,11.0,5424.0,,
Hays,Texas,11874,126.0,243809.0,,
Hemphill,Texas,342,1.0,3368.0,,
Henderson,Texas,3675,74.0,82348.0,,
Hidalgo,Texas,50824,2201.0,872204.0,,
Hill,Texas,2210,33.0,35965.0,,
Hockley,Texas,1890,79.0,21490.0,,
Hood,Texas,3908,71.0,61953.0,,
Hopkins,Texas,2239,71.0,36795.0,,
Houston,Texas,1098,23.0,22068.0,,
Howard,Texas,3936,67.0,34797.0,,
Hudspeth,Texas,445,8.0,3196.0,,
Hunt,Texas,3666,84.0,100231.0,,
Hutchinson,Texas,1176,48.0,20539.0,,
Irion,Texas,70,0.0,1522.0,,
Jack,Texas,417,9.0,8492.0,,
Jackson,Texas,1085,20.0,15000.0,,
Jasper,Texas,1502,44.0,32900.0,,
Jeff Davis,Texas,108,1.0,1978.0,,
Jefferson,Texas,13606,219.0,255979.0,,
Jim Hogg,Texas,323,11.0,4839.0,,
Jim Wells,Texas,2770,65.0,38813.0,,
Johnson,Texas,11092,158.0,180733.0,,
Jones,Texas,2351,30.0,19676.0,,
Karnes,Texas,1273,21.0,14721.0,,
Kaufman,Texas,9274,118.0,146986.0,,
Kendall,Texas,1426,33.0,44527.0,,
Kenedy,Texas,21,2.0,346.0,,
Kent,Texas,57,1.0,759.0,,
Kerr,Texas,2353,34.0,52676.0,,
Kimble,Texas,205,6.0,4289.0,,
King,Texas,6,0.0,270.0,,
Kinney,Texas,144,3.0,3127.0,,
Kleberg,Texas,1700,60.0,30958.0,,
Knox,Texas,160,12.0,3361.0,,
La Salle,Texas,616,14.0,6642.0,,
Lamar,Texas,4109,95.0,50077.0,,
Lamb,Texas,1642,68.0,12984.0,,
Lampasas,Texas,731,15.0,21707.0,,
Lavaca,Texas,1690,53.0,20338.0,,
Lee,Texas,962,27.0,17499.0,,
Leon,Texas,747,24.0,15727.0,,
Liberty,Texas,4230,92.0,92351.0,,
Limestone,Texas,1251,28.0,22103.0,,
Lipscomb,Texas,218,7.0,3042.0,,
Live Oak,Texas,818,12.0,11343.0,,
Llano,Texas,658,12.0,21249.0,,
Loving,Texas,1,0.0,67.0,,
Lubbock,Texas,42134,561.0,311419.0,,
Lynn,Texas,517,12.0,5606.0,,
Madison,Texas,1112,16.0,13445.0,,
Marion,Texas,261,17.0,9752.0,,
Martin,Texas,526,15.0,5250.0,,
Mason,Texas,262,2.0,3964.0,,
Matagorda,Texas,1889,64.0,36269.0,,
Maverick,Texas,6437,192.0,57844.0,,
McCulloch,Texas,447,12.0,7567.0,,
McLennan,Texas,19026,283.0,261023.0,,
McMullen,Texas,64,1.0,599.0,,
Medina,Texas,2732,55.0,50920.0,,
Menard,Texas,170,4.0,1971.0,,
Midland,Texas,11506,185.0,170221.0,,
Milam,Texas,1432,11.0,24724.0,,
Mills,Texas,271,11.0,4439.0,,
Mitchell,Texas,480,14.0,8985.0,,
Montague,Texas,1394,37.0,19969.0,,
Montgomery,Texas,26650,260.0,624938.0,,
Moore,Texas,2058,48.0,21273.0,,
Morris,Texas,493,10.0,11963.0,,
Motley,Texas,73,5.0,1052.0,,
Nacogdoches,Texas,2992,95.0,64624.0,,
Navarro,Texas,4026,62.0,52784.0,,
Newton,Texas,392,17.0,12163.0,,
Nolan,Texas,1195,24.0,14721.0,,
Nueces,Texas,28744,547.0,353090.0,,
Ochiltree,Texas,894,17.0,9960.0,,
Oldham,Texas,149,2.0,1761.0,,
Orange,Texas,5089,72.0,84702.0,,
Palo Pinto,Texas,1863,44.0,28427.0,,
Panola,Texas,1015,41.0,22513.0,,
Parker,Texas,8700,96.0,149432.0,,
Parmer,Texas,1079,32.0,9851.0,,
Pecos,Texas,1321,23.0,15165.0,,
Polk,Texas,2180,58.0,50505.0,,
Potter,Texas,15181,307.0,118173.0,,
Presidio,Texas,598,14.0,6102.0,,
Rains,Texas,532,18.0,12199.0,,
Randall,Texas,14006,191.0,141231.0,,
Reagan,Texas,321,7.0,3376.0,,
Real,Texas,207,11.0,2743.0,,
Red River,Texas,450,25.0,11550.0,,
Reeves,Texas,1461,29.0,14730.0,,
Refugio,Texas,455,17.0,6747.0,,
Roberts,Texas,46,1.0,823.0,,
Robertson,Texas,895,18.0,16740.0,,
Rockwall,Texas,6227,51.0,109090.0,,
Runnels,Texas,894,17.0,9921.0,,
Rusk,Texas,2565,51.0,52225.0,,
Sabine,Texas,391,14.0,9881.0,,
San Augustine,Texas,473,23.0,7919.0,,
San Jacinto,Texas,424,19.0,27483.0,,
San Patricio,Texas,2944,96.0,68772.0,,
San Saba,Texas,425,14.0,5730.0,,
Schleicher,Texas,217,6.0,2442.0,,
Scurry,Texas,1977,31.0,16931.0,,
Shackelford,Texas,152,1.0,3122.0,,
Shelby,Texas,1063,40.0,23926.0,,
Sherman,Texas,111,6.0,2780.0,,
Smith,Texas,12844,261.0,234063.0,,
Somervell,Texas,737,6.0,9214.0,,
Starr,Texas,6182,200.0,65835.0,,
Stephens,Texas,562,14.0,9079.0,,
Sterling,Texas,100,1.0,1383.0,,
Stonewall,Texas,86,3.0,1245.0,,
Sutton,Texas,397,6.0,3362.0,,
Swisher,Texas,623,13.0,6957.0,,
Tarrant,Texas,150004,1494.0,2114709.0,,
Taylor,Texas,11199,199.0,143383.0,,
Terrell,Texas,61,1.0,744.0,,
Terry,Texas,1351,39.0,11792.0,,
Throckmorton,Texas,54,3.0,1443.0,,
Titus,Texas,2534,45.0,31264.0,,
Tom Green,Texas,12818,180.0,120105.0,,
Travis,Texas,50595,549.0,1296100.0,,
Trinity,Texas,339,9.0,13623.0,,
Tyler,Texas,786,11.0,19797.0,,
Upshur,Texas,1844,31.0,40975.0,,
Upton,Texas,269,7.0,3296.0,,
Uvalde,Texas,1900,42.0,24540.0,,
Val Verde,Texas,4696,153.0,47582.0,,
Van Zandt,Texas,2471,62.0,59690.0,,
Victoria,Texas,5881,120.0,91236.0,,
Walker,Texas,6088,86.0,76543.0,,
Waller,Texas,2038,22.0,57349.0,,
Ward,Texas,749,9.0,11656.0,,
Washington,Texas,1481,60.0,35837.0,,
Webb,Texas,26967,505.0,267234.0,,
Wharton,Texas,2423,74.0,41550.0,,
Wheeler,Texas,362,7.0,4980.0,,
Wichita,Texas,11047,216.0,129546.0,,
Wilbarger,Texas,1378,31.0,12846.0,,
Willacy,Texas,1712,63.0,20129.0,,
Williamson,Texas,22884,210.0,615266.0,,
Wilson,Texas,2135,35.0,49994.0,,
Winkler,Texas,532,14.0,7749.0,,
Wise,Texas,4329,72.0,68866.0,,
Wood,Texas,2042,66.0,45010.0,,
Yoakum,Texas,779,19.0,7669.0,,
Young,Texas,1419,30.0,17839.0,,
Zapata,Texas,958,10.0,13884.0,,
Zavala,Texas,944,25.0,9652.0,,
Beaver,Utah,405,2.0,7076.0,419707,-7.8
Box Elder,Utah,3571,26.0,57908.0,2306970,2.5
Cache,Utah,11167,20.0,133527.0,5241528,1.5
Carbon,Utah,1072,7.0,20465.0,1138829,0.3
Daggett,Utah,18,0.0,952.0,132768,-9
Davis,Utah,25023,86.0,363492.0,14303118,1.7
Duchesne,Utah,912,6.0,19581.0,1155080,-4.6
Emery,Utah,569,6.0,9837.0,932010,-4.2
Garfield,Utah,314,7.0,5090.0,250021,-2.1
Grand,Utah,445,1.0,9681.0,609264,-7.4
Iron,Utah,3208,15.0,57640.0,1701006,1.3
Juab,Utah,793,9.0,11824.0,482760,-0.8
Kane,Utah,332,2.0,7673.0,319389,2.5
Millard,Utah,1003,2.0,13015.0,828757,-0.3
Morgan,Utah,867,7.0,12392.0,285871,1
Piute,Utah,73,2.0,1437.0,71661,-15.6
Rich,Utah,67,0.0,2504.0,148732,-3.8
Salt Lake,Utah,107386,554.0,1186236.0,86713524,-0.5
San Juan,Utah,1406,32.0,14525.0,506988,-10.6
Sanpete,Utah,2374,12.0,28508.0,816725,3.8
Sevier,Utah,1356,8.0,21546.0,1187481,0.5
Summit,Utah,3214,5.0,42452.0,3150354,-6.9
Tooele,Utah,4542,13.0,73281.0,1786767,6.6
Uintah,Utah,1267,9.0,35618.0,1860884,-10.2
Unknown,Utah,430,2.0,,,
Utah,Utah,67250,215.0,663143.0,,
Wasatch,Utah,3196,15.0,35032.0,969549,-6.4
Washington,Utah,14765,111.0,181924.0,,
Wayne,Utah,70,0.0,2497.0,,
Weber,Utah,19517,96.0,262828.0,,
Addison,Vermont,269,4.0,37292.0,1579129,-4.2
Bennington,Vermont,501,3.0,37271.0,1543050,-6
Caledonia,Vermont,248,3.0,30184.0,1005625,-1
Chittenden,Vermont,2658,69.0,168289.0,10632821,-5
Essex,Vermont,80,0.0,5910.0,138075,0.7
Franklin,Vermont,542,25.0,49996.0,1963786,-1.4
Grand Isle,Vermont,61,0.0,7278.0,188046,-5.7
Lamoille,Vermont,230,1.0,25914.0,1018478,-6.4
Orange,Vermont,312,1.0,29259.0,740394,-2.9
Orleans,Vermont,293,5.0,27355.0,979997,-2.5
Rutland,Vermont,451,8.0,60455.0,2352696,-6
Unknown,Vermont,9,0.0,,,
Washington,Vermont,884,9.0,59748.0,,
Windham,Vermont,470,5.0,45844.0,,
Windsor,Vermont,404,3.0,57700.0,,
St. Croix,Virgin Islands,829,7.0,,,
St. John,Virgin Islands,174,1.0,,,
St. Thomas,Virgin Islands,1028,15.0,,,
Accomack,Virginia,1698,27.0,33348.0,1582822,4.6
Albemarle,Virginia,2808,31.0,112496.0,,
Alexandria city,Virginia,7298,87.0,,,
Alleghany,Virginia,767,23.0,15161.0,,
Amelia,Virginia,352,7.0,13246.0,268156,-4.5
Amherst,Virginia,1443,10.0,31262.0,735759,-3.6
Appomattox,Virginia,716,7.0,16133.0,262388,7.1
Arlington,Virginia,8872,180.0,238766.0,32930931,-1.7
Augusta,Virginia,3307,29.0,77512.0,,
Bath,Virginia,153,0.0,4196.0,217236,-9.2
Bedford,Virginia,3107,31.0,79504.0,1811923,-3.4
Bland,Virginia,480,6.0,6247.0,205737,-1.5
Botetourt,Virginia,1292,17.0,33614.0,1156685,-4.2
Bristol city,Virginia,917,8.0,,,
Brunswick,Virginia,641,7.0,15806.0,715542,8
Buchanan,Virginia,870,23.0,20216.0,1099109,-9.3
Buckingham,Virginia,1369,12.0,16820.0,487257,3.6
Buena Vista city,Virginia,512,4.0,,,
Campbell,Virginia,2065,19.0,55638.0,,
Caroline,Virginia,1035,9.0,30905.0,673499,4
Carroll,Virginia,1495,36.0,29130.0,,
Charles City,Virginia,195,8.0,6733.0,200759,2.2
Charlotte,Virginia,379,6.0,11506.0,227662,-5.5
Charlottesville city,Virginia,2203,34.0,,,
Chesapeake city,Virginia,9324,101.0,,,
Chesterfield,Virginia,13059,172.0,365566.0,14348174,-1.7
Clarke,Virginia,389,5.0,14788.0,442927,-7.3
Colonial Heights city,Virginia,614,28.0,,,
Covington city,Virginia,368,4.0,,,
Craig,Virginia,149,1.0,4880.0,91025,-4.1
Culpeper,Virginia,2998,19.0,52717.0,1679918,-1.2
Cumberland,Virginia,197,4.0,9656.0,138125,-5
Danville city,Virginia,2322,63.0,,,
Dickenson,Virginia,643,5.0,14045.0,515326,15
Dinwiddie,Virginia,916,15.0,27900.0,,
Emporia city,Virginia,417,30.0,,,
Essex,Virginia,341,2.0,10591.0,351770,-5.4
Fairfax,Virginia,43977,679.0,1148472.0,,
Fairfax city,Virginia,303,10.0,,,
Falls Church city,Virginia,176,6.0,,,
Fauquier,Virginia,2369,28.0,72938.0,2516311,-1.4
Floyd,Virginia,507,17.0,15474.0,335294,-3.5
Fluvanna,Virginia,758,10.0,27280.0,814184,-6.4
Franklin,Virginia,2329,22.0,54469.0,1387760,-1.4
Franklin city,Virginia,673,17.0,,,
Frederick,Virginia,3732,28.0,91766.0,,
Fredericksburg city,Virginia,1039,9.0,,,
Galax city,Virginia,831,35.0,,,
Giles,Virginia,605,2.0,16754.0,445583,5.1
Gloucester,Virginia,855,7.0,38688.0,811148,-1.7
Goochland,Virginia,612,7.0,24828.0,2273664,4.1
Grayson,Virginia,790,24.0,15300.0,260007,-5.1
Greene,Virginia,543,4.0,20591.0,421735,-4.5
Greensville,Virginia,1023,16.0,11393.0,,
Halifax,Virginia,1141,36.0,33901.0,1089647,-4.4
Hampton city,Virginia,4332,48.0,,,
Hanover,Virginia,3828,72.0,110102.0,5378892,-3
Harrisonburg city,Virginia,4384,44.0,,,
Henrico,Virginia,12337,293.0,334298.0,26686265,-4.7
Henry,Virginia,2637,53.0,50782.0,,
Highland,Virginia,57,0.0,2236.0,68674,-1.4
Hopewell city,Virginia,883,10.0,,,
Isle of Wight,Virginia,1519,29.0,38658.0,1267956,0.1
James City,Virginia,1898,28.0,78412.0,,
King George,Virginia,736,10.0,26806.0,1822792,2.2
King William,Virginia,453,4.0,17905.0,469472,-0.8
King and Queen,Virginia,171,2.0,6590.0,127542,3.7
Lancaster,Virginia,344,2.0,10910.0,409913,-4.2
Lee,Virginia,1476,29.0,22084.0,367913,-1.5
Lexington city,Virginia,596,4.0,,,
Loudoun,Virginia,14169,159.0,422597.0,27268208,-6.6
Louisa,Virginia,902,9.0,37757.0,1983012,0.1
Lunenburg,Virginia,347,3.0,11930.0,210841,5.8
Lynchburg city,Virginia,4255,53.0,,,
Madison,Virginia,299,4.0,13837.0,330903,-4.6
Manassas Park city,Virginia,931,8.0,,,
Manassas city,Virginia,2887,29.0,,,
Martinsville city,Virginia,1002,27.0,,,
Mathews,Virginia,310,4.0,8524.0,199538,-4.6
Mecklenburg,Virginia,1304,39.0,30287.0,901123,-1.1
Middlesex,Virginia,275,11.0,10623.0,345289,-5.7
Montgomery,Virginia,5182,38.0,99508.0,,
Nelson,Virginia,348,4.0,14732.0,482176,-1.8
New Kent,Virginia,646,5.0,23086.0,496686,6.6
Newport News city,Virginia,5973,69.0,,,
Norfolk city,Virginia,8849,107.0,,,
Northampton,Virginia,444,31.0,12232.0,449593,14.3
Northumberland,Virginia,427,10.0,11839.0,406156,-1.3
Norton city,Virginia,169,1.0,,,
Nottoway,Virginia,1149,24.0,15614.0,471813,-2.8
Orange,Virginia,944,13.0,36396.0,1050074,-1.8
Page,Virginia,1026,33.0,23693.0,595270,-4.6
Patrick,Virginia,765,28.0,17560.0,384345,-4.9
Petersburg city,Virginia,1444,33.0,,,
Pittsylvania,Virginia,2609,37.0,60312.0,,
Poquoson city,Virginia,335,3.0,,,
Portsmouth city,Virginia,4519,78.0,,,
Powhatan,Virginia,865,6.0,30433.0,738854,-4
Prince Edward,Virginia,1083,17.0,21853.0,651059,-1.7
Prince George,Virginia,1830,8.0,43023.0,,
Prince William,Virginia,25519,260.0,482738.0,,
Pulaski,Virginia,1502,32.0,33760.0,1255179,-7.8
Radford city,Virginia,1497,7.0,,,
Rappahannock,Virginia,163,2.0,7312.0,294664,-5.2
Richmond,Virginia,811,5.0,8920.0,20694025,-1.7
Richmond city,Virginia,9158,94.0,,,
Roanoke,Virginia,4686,68.0,96845.0,6377991,-2.5
Roanoke city,Virginia,5236,99.0,,,
Rockbridge,Virginia,599,6.0,22610.0,,
Rockingham,Virginia,3919,48.0,83758.0,,
Russell,Virginia,1520,16.0,25726.0,616876,-5
Salem city,Virginia,1172,26.0,,,
Scott,Virginia,1214,34.0,21547.0,377405,-5.5
Shenandoah,Virginia,2204,73.0,44255.0,1641286,-2
Smyth,Virginia,1817,55.0,29730.0,947116,-5.7
Southampton,Virginia,1142,42.0,17949.0,,
Spotsylvania,Virginia,4797,67.0,140475.0,,
Stafford,Virginia,5221,24.0,157604.0,5183674,0.9
Staunton city,Virginia,1585,31.0,,,
Suffolk city,Virginia,3987,90.0,,,
Surry,Virginia,247,5.0,6546.0,1006495,3.7
Sussex,Virginia,713,13.0,10768.0,340831,-1.2
Tazewell,Virginia,2335,24.0,40343.0,1133180,-5.7
Virginia Beach city,Virginia,16629,150.0,,,
Warren,Virginia,1329,33.0,40782.0,1620127,-1
Washington,Virginia,2970,44.0,53839.0,,
Waynesboro city,Virginia,1194,13.0,,,
Westmoreland,Virginia,692,9.0,18496.0,432216,4.7
Williamsburg city,Virginia,358,8.0,,,
Winchester city,Virginia,1649,10.0,,,
Wise,Virginia,2023,58.0,36018.0,,
Wythe,Virginia,1311,28.0,28274.0,1307389,-10.1
York,Virginia,1472,12.0,70154.0,,
Adams,Washington,1627,16.0,20605.0,923667,6
Asotin,Washington,959,18.0,22290.0,610859,-0.5
Benton,Washington,11692,164.0,207230.0,10969021,-2.3
Chelan,Washington,5156,36.0,79185.0,4175503,-1.7
Clallam,Washington,716,4.0,77280.0,2281222,-1.7
Clark,Washington,13344,146.0,505013.0,19842592,-1.6
Columbia,Washington,84,4.0,3949.0,357570,-9.2
Cowlitz,Washington,2415,29.0,110924.0,4585917,-2.6
Douglas,Washington,2716,15.0,42998.0,1640444,2.3
Ferry,Washington,176,2.0,7178.0,179214,6.4
Franklin,Washington,8772,83.0,97076.0,3725217,-1.2
Garfield,Washington,95,2.0,2292.0,143783,5.4
Grant,Washington,6923,82.0,99365.0,5218536,12.8
Grays Harbor,Washington,2220,26.0,75811.0,2254969,-6.3
Island,Washington,924,22.0,86948.0,2940564,0.5
Jefferson,Washington,220,1.0,33048.0,983896,-2.1
King,Washington,62582,1052.0,2272571.0,293178141,1.3
Kitsap,Washington,3887,40.0,275660.0,11275707,0.6
Kittitas,Washington,1688,26.0,44589.0,1633671,-2
Klickitat,Washington,476,3.0,22783.0,1583910,-8.9
Lewis,Washington,2445,31.0,82474.0,3128591,-6.5
Lincoln,Washington,250,5.0,10920.0,432953,9.3
Mason,Washington,1492,16.0,66028.0,1476139,-3.7
Okanogan,Washington,1757,32.0,42118.0,1441381,0.6
Pacific,Washington,542,5.0,23470.0,661546,-4.4
Pend Oreille,Washington,453,4.0,13482.0,532752,-14
Pierce,Washington,27620,348.0,922828.0,40008149,-1.9
San Juan,Washington,74,0.0,17818.0,716828,-5.9
Skagit,Washington,3299,40.0,129852.0,7115536,-5.4
Skamania,Washington,190,1.0,12034.0,245424,3.2
Snohomish,Washington,23189,393.0,829331.0,45380868,-7
Spokane,Washington,26174,370.0,540700.0,23798009,-2.2
Stevens,Washington,1182,17.0,46566.0,990813,0.8
Thurston,Washington,4776,56.0,295729.0,12511137,-2.2
Wahkiakum,Washington,48,0.0,4443.0,83173,1.6
Walla Walla,Washington,3586,35.0,62574.0,3245485,-7.2
Whatcom,Washington,3478,55.0,227304.0,13629262,-5.3
Whitman,Washington,2784,27.0,47786.0,2320680,-1.4
Yakima,Washington,21053,317.0,256533.0,10043074,-0.3
Barbour,West Virginia,765,9.0,15440.0,418599,-2.1
Berkeley,West Virginia,6245,51.0,122654.0,3568921,-1.1
Boone,West Virginia,1067,21.0,21714.0,670569,-10.6
Braxton,West Virginia,298,1.0,12386.0,286726,-4.5
Brooke,West Virginia,1405,24.0,22469.0,1023404,-3.4
Cabell,West Virginia,5232,101.0,94137.0,4519107,-3.9
Calhoun,West Virginia,130,0.0,6199.0,111903,-5.1
Clay,West Virginia,258,4.0,8006.0,119758,-1.5
Doddridge,West Virginia,245,3.0,7786.0,1478549,32
Fayette,West Virginia,1711,48.0,40358.0,1024217,-9.5
Gilmer,West Virginia,397,1.0,7378.0,183047,-3.4
Grant,West Virginia,760,17.0,10954.0,391569,6.3
Greenbrier,West Virginia,1469,35.0,32866.0,1073935,-7.2
Hampshire,West Virginia,988,11.0,23067.0,379825,-1.2
Hancock,West Virginia,1837,41.0,29019.0,1108227,-1.7
Hardy,West Virginia,775,7.0,14240.0,526454,-3.3
Harrison,West Virginia,2949,33.0,65771.0,4377636,-5.3
Jackson,West Virginia,1153,29.0,27735.0,944867,-10.4
Jefferson,West Virginia,2337,26.0,57732.0,1609123,-6.6
Kanawha,West Virginia,8582,203.0,180048.0,9747858,-5.1
Lewis,West Virginia,525,4.0,17009.0,665325,-17.6
Lincoln,West Virginia,741,8.0,20337.0,246754,-4.6
Logan,West Virginia,1642,58.0,32473.0,1306305,-10.7
Marion,West Virginia,1826,13.0,56157.0,2268371,-7.7
Marshall,West Virginia,2100,53.0,30444.0,2848741,-7.4
Mason,West Virginia,1031,15.0,25356.0,714968,-1.8
McDowell,West Virginia,970,6.0,18916.0,586172,-9.6
Mercer,West Virginia,2783,54.0,59462.0,1548261,-5.1
Mineral,West Virginia,2095,62.0,26877.0,726940,-3
Mingo,West Virginia,1422,20.0,23455.0,661582,-24.3
Monongalia,West Virginia,5284,31.0,105916.0,6116729,-3
Monroe,West Virginia,646,11.0,12330.0,169047,3.1
Morgan,West Virginia,641,8.0,17037.0,302883,-6.4
Nicholas,West Virginia,654,8.0,24523.0,583478,-4.9
Ohio,West Virginia,2484,37.0,42264.0,,
Pendleton,West Virginia,293,2.0,6134.0,,
Pleasants,West Virginia,569,5.0,7649.0,,
Pocahontas,West Virginia,356,9.0,7847.0,,
Preston,West Virginia,1649,30.0,34176.0,,
Putnam,West Virginia,2953,56.0,57399.0,,
Raleigh,West Virginia,2670,29.0,74349.0,,
Randolph,West Virginia,1138,6.0,27852.0,,
Ritchie,West Virginia,345,7.0,8424.0,,
Roane,West Virginia,306,5.0,13977.0,,
Summers,West Virginia,439,16.0,11915.0,,
Taylor,West Virginia,689,13.0,16701.0,,
Tucker,West Virginia,330,2.0,6752.0,,
Tyler,West Virginia,357,2.0,8279.0,,
Upshur,West Virginia,922,4.0,23783.0,,
Wayne,West Virginia,1701,19.0,38830.0,,
Webster,West Virginia,150,0.0,8329.0,,
Wetzel,West Virginia,689,16.0,14382.0,,
Wirt,West Virginia,216,1.0,5183.0,,
Wood,West Virginia,4933,43.0,83996.0,,
Wyoming,West Virginia,1182,20.0,21326.0,,
Adams,Wisconsin,1427,13.0,20673.0,532566,2.5
Ashland,Wisconsin,1059,16.0,15977.0,674573,-7
Barron,Wisconsin,4580,57.0,46643.0,1980728,-2.4
Bayfield,Wisconsin,964,18.0,16229.0,419615,-5.5
Brown,Wisconsin,27818,172.0,268741.0,16948230,-4.7
Buffalo,Wisconsin,1005,7.0,13320.0,448784,7.4
Burnett,Wisconsin,1099,19.0,16588.0,485969,-2.2
Calumet,Wisconsin,5015,37.0,52476.0,1544541,-2.6
Chippewa,Wisconsin,6005,67.0,66279.0,2698020,-1
Clark,Wisconsin,3114,55.0,34628.0,1418479,-8.8
Columbia,Wisconsin,4500,38.0,58510.0,2598307,-2.2
Crawford,Wisconsin,1596,12.0,16086.0,679143,-3.6
Dane,Wisconsin,34503,199.0,562306.0,40879006,-2.7
Dodge,Wisconsin,10999,137.0,89262.0,3356258,-0.8
Door,Wisconsin,2195,15.0,30102.0,1225342,-4.5
Douglas,Wisconsin,3515,30.0,44275.0,1730178,-3.7
Dunn,Wisconsin,3768,23.0,45440.0,1698717,0.3
Eau Claire,Wisconsin,9473,86.0,105818.0,5920439,-4.1
Florence,Wisconsin,421,12.0,4556.0,134261,-11.9
Fond du Lac,Wisconsin,11228,75.0,104076.0,4844569,-5.3
Forest,Wisconsin,912,24.0,9160.0,283358,-8.9
Grant,Wisconsin,4530,82.0,51934.0,2190118,-3.8
Green,Wisconsin,2392,12.0,36992.0,1670052,-2.3
Green Lake,Wisconsin,1732,13.0,18997.0,578742,-0.2
Iowa,Wisconsin,1745,8.0,23676.0,,
Iron,Wisconsin,527,33.0,6128.0,,
Jackson,Wisconsin,2402,18.0,21102.0,,
Jefferson,Wisconsin,7231,61.0,84858.0,,
Juneau,Wisconsin,2501,10.0,26759.0,,
Kenosha,Wisconsin,13842,226.0,169073.0,,
Kewaunee,Wisconsin,2186,25.0,20539.0,,
La Crosse,Wisconsin,10615,57.0,120852.0,,
Lafayette,Wisconsin,1350,6.0,16605.0,,
Langlade,Wisconsin,1928,40.0,19438.0,,
Lincoln,Wisconsin,2605,59.0,28374.0,,
Manitowoc,Wisconsin,6950,57.0,81250.0,,
Marathon,Wisconsin,13062,183.0,137954.0,,
Marinette,Wisconsin,3868,45.0,41869.0,,
Marquette,Wisconsin,1302,21.0,15584.0,,
Menominee,Wisconsin,718,10.0,4255.0,,
Milwaukee,Wisconsin,91624,1002.0,938149.0,,
Monroe,Wisconsin,3510,25.0,46281.0,,
Oconto,Wisconsin,4109,42.0,39043.0,,
Oneida,Wisconsin,2870,50.0,37839.0,,
Outagamie,Wisconsin,17590,160.0,190832.0,,
Ozaukee,Wisconsin,7104,55.0,91569.0,,
Pepin,Wisconsin,693,5.0,7335.0,,
Pierce,Wisconsin,3587,35.0,42191.0,,
Polk,Wisconsin,3064,24.0,45006.0,,
Portage,Wisconsin,5913,54.0,70378.0,,
Price,Wisconsin,1015,5.0,14015.0,,
Racine,Wisconsin,19548,259.0,197440.0,,
Richland,Wisconsin,1126,13.0,17274.0,,
Rock,Wisconsin,13032,126.0,163643.0,,
